fecha,hora,token,cadena,contrato,mc_usd,pct_24h,holders,thesis_count,thesis_por_1000_holders,var_thesis_vs_ayer,overhang_snipers_pct,liq_pct,top10_pct,ventana_1D_verificada,nota
2026-09-08,00:25,MarsCoin,bnb,0xfe189e97832da1573e4e4ff034f4ffc3a15c7777,147100000,-8.95,46000,11600,252.17,s/d,1.5,0.88,13.29,SI,3 de 20 holders con entrada <10% del MC
2026-09-08,00:25,ICOIN,robinhood,0x5d6ef090a1461b11c9427ac319260122d1c61e18,7200000,36.95,5000,1517,303.40,s/d,5.3,6.24,17.10,SI,5 de 20
2026-09-08,00:25,PROLOGUE,robinhood,0xb9972ca7188e511174947e3936a5315ac7073277,10300000,40.14,7000,1314,187.71,s/d,1.9,3.99,14.66,SI,1 de 20 (inyourwalls); edad sigue sin dato
2026-09-08,00:25,CATE,solana,s/d,28100000,-12.46,117000,779200,6660.68,s/d,0.0,3.56,11.55,SI,0 de 20; thesis count anomalo (779K) — verificar si fomo cuenta tesis o comentarios
2026-09-08,00:25,CETS,bnb,s/d,16200000,-12.92,9000,3665,407.22,s/d,19.8,1.76,24.44,SI,14 de 20: overhang mas alto del universo; liq <2%
2026-09-08,00:25,FATCOIN,robinhood,0x12d5ee7917ca430073c3a638ee1e6f0648a98a01,16600000,-1.79,9000,2459,273.22,s/d,3.0,3.33,12.45,SI,3 de 20; 6 dias
2026-09-08,00:25,microduck,robinhood,s/d,19500000,-14.26,19000,11600,610.53,s/d,7.0,1.93,23.71,SI,7 de 20; liq <2%
2026-09-08,00:25,PONS,robinhood,0x39dbed3a2bd333467115de45665cc57f813c4571,695700000,-10.05,83000,7022,84.60,s/d,3.7,1.00,39.04,SI,"11 de 20 (unipcs, AJC, theveeman...); liq 1.0%"
2026-09-08,00:25,STONK,solana,6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx,174500000,46.44,33000,8821,267.30,s/d,13.1,1.72,18.11,SI,13 de 20; liq <2%
