fecha,rank_desde_abajo,token,cadena,launchpad,edad,mc_usd,pct_24h,vol_24h_usd,liq_pct,holders,top10_pct,verificado,top1_holder,top1_entry_mc,received_top50,titular_presente,base_antes_vela,narrativa_madre,veredicto,nota
2026-09-08,1,Stonks,s/d,s/d,s/d,3400000,-72,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,control,"primera pasada MÉTRICAS-E 00:20-00:29: Trending sin orden por %24h, solo 7 en rojo con MC>$1M; fichas no abiertas por tiempo; ROBIN = veto copycat de la autopsia del 5-sep"
2026-09-08,2,ROBIN,s/d,s/d,s/d,4550000,-66,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,control,"primera pasada MÉTRICAS-E 00:20-00:29: Trending sin orden por %24h, solo 7 en rojo con MC>$1M; fichas no abiertas por tiempo; ROBIN = veto copycat de la autopsia del 5-sep"
2026-09-08,3,BREW,s/d,s/d,s/d,6150000,-61,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,control,"primera pasada MÉTRICAS-E 00:20-00:29: Trending sin orden por %24h, solo 7 en rojo con MC>$1M; fichas no abiertas por tiempo; ROBIN = veto copycat de la autopsia del 5-sep"
2026-09-08,4,BEN,s/d,s/d,s/d,4500000,-55,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,control,"primera pasada MÉTRICAS-E 00:20-00:29: Trending sin orden por %24h, solo 7 en rojo con MC>$1M; fichas no abiertas por tiempo; ROBIN = veto copycat de la autopsia del 5-sep"
2026-09-08,5,GRASS,s/d,s/d,s/d,3400000,-41,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,control,"primera pasada MÉTRICAS-E 00:20-00:29: Trending sin orden por %24h, solo 7 en rojo con MC>$1M; fichas no abiertas por tiempo; ROBIN = veto copycat de la autopsia del 5-sep"
2026-09-08,6,FLORK,s/d,s/d,s/d,13100000,-34,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,control,"primera pasada MÉTRICAS-E 00:20-00:29: Trending sin orden por %24h, solo 7 en rojo con MC>$1M; fichas no abiertas por tiempo; ROBIN = veto copycat de la autopsia del 5-sep"
2026-09-08,7,ZZZ,s/d,s/d,s/d,15100000,-20,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,s/d,control,"primera pasada MÉTRICAS-E 00:20-00:29: Trending sin orden por %24h, solo 7 en rojo con MC>$1M; fichas no abiertas por tiempo; ROBIN = veto copycat de la autopsia del 5-sep"
